Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
1,06:38 AM,07:46 AM,01:13 PM,04:15 PM,06:38 PM,07:47 PM
2,06:39 AM,07:47 AM,01:12 PM,04:14 PM,06:37 PM,07:46 PM
3,06:39 AM,07:48 AM,01:12 PM,04:13 PM,06:36 PM,07:45 PM
4,06:40 AM,07:49 AM,01:12 PM,04:12 PM,06:35 PM,07:45 PM
5,06:41 AM,07:49 AM,01:12 PM,04:12 PM,06:34 PM,07:44 PM
6,05:43 AM,06:51 AM,12:13 PM,03:10 PM,05:32 PM,06:42 PM
7,05:43 AM,06:52 AM,12:13 PM,03:10 PM,05:32 PM,06:42 PM
8,05:44 AM,06:53 AM,12:13 PM,03:09 PM,05:31 PM,06:41 PM
9,05:45 AM,06:54 AM,12:13 PM,03:09 PM,05:30 PM,06:40 PM
10,05:46 AM,06:55 AM,12:13 PM,03:08 PM,05:29 PM,06:40 PM
11,05:47 AM,06:56 AM,12:13 PM,03:08 PM,05:29 PM,06:39 PM
12,05:47 AM,06:57 AM,12:13 PM,03:07 PM,05:28 PM,06:39 PM
13,05:48 AM,06:58 AM,12:13 PM,03:07 PM,05:27 PM,06:38 PM
14,05:49 AM,06:59 AM,12:13 PM,03:06 PM,05:27 PM,06:38 PM
15,05:50 AM,06:59 AM,12:13 PM,03:06 PM,05:26 PM,06:37 PM
16,05:51 AM,07:00 AM,12:14 PM,03:05 PM,05:26 PM,06:37 PM
17,05:51 AM,07:01 AM,12:14 PM,03:05 PM,05:25 PM,06:36 PM
18,05:52 AM,07:02 AM,12:14 PM,03:04 PM,05:25 PM,06:36 PM
19,05:53 AM,07:03 AM,12:14 PM,03:04 PM,05:24 PM,06:36 PM
20,05:54 AM,07:04 AM,12:15 PM,03:04 PM,05:24 PM,06:35 PM
21,05:55 AM,07:05 AM,12:15 PM,03:03 PM,05:23 PM,06:35 PM
22,05:55 AM,07:06 AM,12:15 PM,03:03 PM,05:23 PM,06:35 PM
23,05:56 AM,07:07 AM,12:15 PM,03:03 PM,05:23 PM,06:35 PM
24,05:57 AM,07:08 AM,12:16 PM,03:03 PM,05:22 PM,06:34 PM
25,05:58 AM,07:09 AM,12:16 PM,03:03 PM,05:22 PM,06:34 PM
26,05:59 AM,07:10 AM,12:16 PM,03:02 PM,05:22 PM,06:34 PM
27,05:59 AM,07:10 AM,12:17 PM,03:02 PM,05:21 PM,06:34 PM
28,06:00 AM,07:11 AM,12:17 PM,03:02 PM,05:21 PM,06:34 PM
29,06:01 AM,07:12 AM,12:17 PM,03:02 PM,05:21 PM,06:34 PM
30,06:02 AM,07:13 AM,12:18 PM,03:02 PM,05:21 PM,06:34 PM
